id	parentId	type	text	options	target	signal
BRIDGE_2C	S2_REF_ENT	bridge	Let’s shift perspective — who else was affected today?		S3_OPEN	

BRIDGE_2D	S2_REF_ENT2	bridge	Now step outside your own view — what about others?		S3_OPEN	

# -------- IMPACT SIGNAL --------

S3_OPEN	null	question	Who occupied your thoughts most today?	Myself|My team|A colleague|End user		

S3_D1	S3_OPEN	decision		answer=Myself:S3_SELF;answer=My team|A colleague|End user:S3_OTHER		

S3_SELF	S3_D1	question	When challenges came up, what mattered most?	My results|My stress|My goals|My time		impact:self

S3_OTHER	S3_D1	question	Who were you most aware of?	Team success|Someone struggling|Shared outcome|User experience		impact:other

S3_D2	S3_SELF	decision		answer=My results|My goals:S3_SELF_DEEP1;answer=My stress|My time:S3_SELF_DEEP2		

S3_D2B	S3_OTHER	decision		answer=Team success|Shared outcome:S3_OTHER_DEEP1;answer=Someone struggling|User experience:S3_OTHER_DEEP2		

S3_SELF_DEEP1	S3_D2	question	What drove your focus?	Achievement|Deadlines|Responsibility|Performance		impact:self

S3_SELF_DEEP2	S3_D2	question	What shaped your experience most?	Pressure|Fatigue|Time limits|Workload		impact:self

S3_OTHER_DEEP1	S3_D2B	question	What mattered in the bigger picture?	Team delivery|Shared goals|Collective success|Coordination		impact:other

S3_OTHER_DEEP2	S3_D2B	question	What stood out most?	Helping someone|Understanding needs|User outcome|Empathy		impact:other

S3_REF_SELF	S3_SELF_DEEP1	reflection	Your focus stayed centered on your own outcomes. Expanding outward could reduce pressure and increase meaning.			impact:self

S3_REF_SELF2	S3_SELF_DEEP2	reflection	Your experience was shaped by internal pressure. Broadening perspective may ease that weight.			impact:self

S3_REF_OTHER	S3_OTHER_DEEP1	reflection	You aligned with something bigger than yourself. That builds connection and shared success.			impact:other

S3_REF_OTHER2	S3_OTHER_DEEP2	reflection	You noticed others deeply. That awareness creates meaningful impact beyond tasks.			impact:other

# -------- SUMMARY --------

SUMMARY	S3_REF_OTHER	summary	Your signals today: Control → {axis1.dominant}, Value → {axis2.dominant}, Impact → {axis3.dominant}.  
You shaped, contributed, and connected in ways that define your day.			

END	SUMMARY	end	Session complete. Reflect again tomorrow.			
